,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,NBAGP,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
74,Josh Hart,SG,Villanova,,146,77,28.0,4.6,9.1,.511,3.2,5.4,.592,1.4,3.6,.389,2.5,3.4,.720,1.7,3.8,5.6,1.8,1.1,0.3,1.3,2.2,13.2,,8.51,63,4.2,1.3,0.7,0.3,7.9
75,Frank Jackson,PG,Duke,,36,16,24.9,3.7,7.8,.473,2.3,4.2,.539,1.4,3.6,.395,2.1,2.8,.755,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,,10.91,61,2.2,1.1,0.4,0.0,8.1
76,Davon Reed,SG,Miami (FL),,131,99,28.1,3.3,7.8,.430,1.8,3.9,.466,1.5,3.9,.395,2.0,2.6,.779,0.7,3.0,3.6,1.6,0.9,0.4,1.4,1.9,10.3,,8.24,21,1.9,0.6,0.5,0.1,3.0
77,Wesley Iwundu,SF,Kansas State,,132,123,28.2,3.2,6.9,.463,2.8,5.8,.488,0.4,1.1,.338,2.6,3.8,.688,1.2,3.5,4.7,2.8,0.9,0.4,2.1,2.1,9.5,,9.51,62,2.2,0.9,0.5,0.2,3.7
78,Frank Mason III,PG,Kansas,,145,113,30.0,4.2,9.2,.454,2.9,6.2,.471,1.3,3.0,.420,3.3,4.4,.761,0.5,2.9,3.4,4.0,1.1,0.1,1.9,2.0,13.0,,11.74,52,2.5,2.8,0.7,0.2,7.9
79,Ivan Rabb,PF,California,,65,64,30.6,4.8,8.8,.544,4.7,8.5,.549,0.1,0.3,.409,3.5,5.2,.666,2.9,6.6,9.4,1.2,0.6,1.1,1.8,3.1,13.2,,7.10,36,4.4,0.9,0.3,0.4,5.6
80,Semi Ojeleye,PF,SMU,,35,35,34.1,6.0,12.3,.487,3.9,7.4,.529,2.1,4.9,.424,4.9,6.3,.785,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19.0,,,73,2.2,0.3,0.3,0.1,2.7
81,Jordan Bell,C,Oregon,,105,62,24.7,3.3,5.4,.610,3.3,5.2,.622,0.0,0.2,.188,1.2,1.8,.630,2.1,4.7,6.8,1.5,1.1,2.2,1.5,2.3,7.8,,8.23,57,3.6,1.8,0.6,1.0,4.6
82,Jawun Evans,PG,Oklahoma State,,54,52,29.1,5.7,12.7,.448,4.7,10.2,.458,1.0,2.5,.407,4.2,5.1,.818,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6,,10.51,48,1.8,2.1,0.8,0.1,4.8
83,Dwayne Bacon,SG,Florida State,,69,67,28.8,6.1,13.5,.449,4.8,9.3,.510,1.3,4.1,.312,3.1,4.2,.733,1.2,3.8,5.0,1.6,1.0,0.1,2.1,1.9,16.5,,8.52,53,2.3,0.7,0.3,0.0,3.3
84,Tyler Dorsey,SG,Oregon,,75,74,30.0,4.6,10.0,.455,2.5,5.1,.493,2.1,5.0,.416,2.9,3.9,.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1,,8.51,56,2.3,1.4,0.3,0.1,7.2
85,Thomas Bryant,C,Indiana,,69,69,25.3,4.4,7.5,.592,4.0,6.4,.630,0.4,1.1,.373,3.0,4.1,.718,2.1,4.1,6.2,1.2,0.6,1.2,2.0,2.9,12.2,,7.53,15,1.1,0.4,0.1,0.1,1.5
86,Damyean Dotson,SG,Houston,,64,64,32.6,5.7,11.8,.485,3.1,5.3,.575,2.7,6.5,.412,1.5,1.9,.832,1.7,5.1,6.9,1.2,0.8,0.2,1.0,1.8,15.6,,,44,1.9,0.7,0.3,0.0,4.1
87,Dillon Brooks,SF,Oregon,,109,98,28.9,5.4,11.4,.472,4.2,8.0,.518,1.2,3.4,.362,2.8,3.5,.794,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8,,8.23,82,3.1,1.6,0.9,0.2,11.0
88,Sterling Brown,SG,SMU,,136,106,25.7,2.9,5.8,.504,2.0,3.7,.534,0.9,2.1,.451,1.4,1.9,.770,1.4,3.4,4.8,2.2,1.0,0.4,1.5,2.2,8.2,,4.39,54,2.6,0.5,0.6,0.2,4.0
89,Ike Anigbogu,C,UCLA,,29,0,13.0,2.0,3.5,.564,2.0,3.5,.564,0.0,0.0,,0.8,1.5,.535,1.4,2.6,4.0,0.2,0.2,1.2,0.8,2.5,4.7,,6.39,11,0.8,0.0,0.1,0.3,1.2
90,Sindarius Thornwell,SG,South Carolina,,132,132,31.8,4.5,11.5,.392,3.2,7.5,.420,1.4,4.0,.339,4.3,5.6,.771,1.6,3.6,5.2,3.0,1.5,0.6,2.5,2.4,14.7,,7.80,73,1.9,0.9,0.7,0.3,3.9
91,Monte Morris,PG,Iowa State,,140,121,33.8,4.5,9.5,.476,3.5,6.7,.517,1.1,2.9,.381,2.0,2.6,.780,0.8,2.9,3.7,5.5,1.6,0.3,1.2,1.5,12.2,,10.28,3,0.7,2.3,1.0,0.0,3.3
92,Edmond Sumner,PG,Xavier,,58,49,26.6,3.5,8.2,.429,2.9,6.0,.483,0.6,2.2,.285,3.7,5.1,.730,0.5,3.0,3.5,3.8,1.2,0.4,2.2,2.3,11.4,,9.81,1,1.0,0.0,0.0,0.0,2.0
93,Kadeem Allen,PG,Arizona,,68,61,27.5,3.0,6.6,.459,2.3,4.8,.482,0.7,1.8,.400,2.3,3.1,.725,0.3,3.3,3.6,3.3,1.3,0.7,2.0,2.4,9.1,,7.43,18,0.6,0.7,0.2,0.1,1.1
94,Alec Peters,PF,Valparaiso,,134,134,31.7,5.9,12.1,.487,3.7,6.9,.539,2.2,5.2,.416,3.6,4.2,.846,2.0,5.5,7.4,1.5,0.8,0.3,1.9,2.1,17.5,,-0.95,20,1.9,0.6,0.1,0.1,4.1
95,Nigel Williams-Goss,PG,Gonzaga,,38,38,32.8,5.8,11.9,.486,4.7,8.8,.527,1.1,3.1,.368,4.1,4.8,.867,0.6,5.4,6.0,4.7,1.7,0.1,2.1,1.6,16.8,,,9,0.6,0.6,0.1,0.1,0.4
96,Jabari Bird,SG,California,,114,80,26.4,3.9,8.9,.442,2.3,4.5,.512,1.6,4.4,.371,1.2,1.6,.753,0.8,2.5,3.3,1.2,0.5,0.3,1.2,1.7,10.8,,6.95,13,1.5,0.6,0.2,0.1,3.0
97,Jaron Blossomgame,SF,Clemson,,128,125,30.7,4.9,10.0,.488,4.1,7.7,.541,0.8,2.4,.316,3.0,4.1,.724,1.9,4.6,6.5,1.1,0.6,0.7,1.5,1.6,13.5,,7.50,27,3.6,0.5,0.3,0.3,4.2
98,Brandon Ingram,SF,Duke,,36,34,34.6,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,,10.59,79,4.0,2.1,0.6,0.5,9.4
99,Jaylen Brown,SF,California,,34,34,27.6,4.8,11.1,.431,3.9,8.1,.482,0.9,3.0,.294,4.2,6.4,.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,,7.87,78,2.8,0.8,0.4,0.2,6.6
100,Kris Dunn,PG,Providence,,95,83,31.5,4.5,9.9,.450,3.7,7.8,.476,0.8,2.2,.354,3.1,4.5,.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8,,8.09,78,2.1,2.4,1.0,0.5,3.8
