,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
214,Otto Porter,Georgetown,,64,38,32.5,4.6,9.2,.498,3.7,6.8,.550,0.9,2.4,.355,2.8,3.8,.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2.0,12.8,,7.64
215,Cody Zeller,Indiana,,72,72,29.0,5.5,9.4,.592,5.5,9.3,.594,0.0,0.0,.000,5.0,6.6,.756,2.6,4.7,7.3,1.3,1.2,1.2,2.0,2.5,16.1,,8.09
216,Alex Len,Maryland,,60,48,24.5,3.8,7.0,.538,3.7,6.8,.548,0.0,0.2,.111,2.2,3.3,.663,2.4,4.5,7.0,0.8,0.2,2.1,1.6,2.6,9.7,,5.32
217,Nerlens Noel,Kentucky,,24,24,31.9,4.1,6.9,.590,4.1,6.9,.590,0.0,0.0,,2.3,4.3,.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,,5.78
218,Ben McLemore,Kansas,,37,36,32.2,5.4,10.8,.495,3.4,6.1,.553,2.0,4.7,.420,3.2,3.7,.870,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9,15.9,,7.54
219,Kentavious Caldwell-Pope,Georgia,,64,60,33.0,5.3,12.7,.415,3.0,5.9,.504,2.3,6.9,.339,2.9,3.9,.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,,7.02
220,Trey Burke,Michigan,,73,71,35.7,6.0,13.3,.450,4.2,8.3,.499,1.8,5.0,.367,3.1,4.0,.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9,,9.51
221,CJ McCollum,Lehigh,,111,108,32.9,6.9,15.7,.439,5.0,10.5,.470,2.0,5.2,.377,5.5,6.7,.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,,-5.41
222,Michael Carter-Williams,Syracuse,,66,40,25.4,2.7,6.8,.398,2.1,4.8,.438,0.6,2.1,.307,2.2,3.2,.679,0.9,2.7,3.6,5.2,2.0,0.4,2.3,1.8,8.2,,8.29
223,Steven Adams,Pitt,,32,32,23.4,3.1,5.5,.571,3.1,5.5,.571,0.0,0.0,,1.0,2.2,.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2,,5.63
224,Kelly Olynyk,Gonzaga,,101,31,17.2,3.3,5.6,.594,3.1,4.9,.634,0.2,0.7,.333,2.0,2.8,.709,1.5,3.1,4.6,1.1,0.5,0.5,1.4,2.0,8.9,,4.00
225,Shabazz Muhammad,UCLA,,32,30,30.8,6.3,14.3,.443,5.1,10.9,.463,1.3,3.3,.377,4.0,5.6,.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,,7.82
226,Shane Larkin,Miami (FL),,68,54,31.3,3.8,8.6,.438,2.3,4.6,.491,1.5,4.0,.375,2.2,2.7,.808,0.5,2.7,3.2,3.6,1.8,0.1,2.1,1.6,11.2,,7.03
227,Tony Snell,New Mexico,,104,76,24.8,3.0,7.1,.421,1.4,2.9,.480,1.6,4.2,.380,1.6,1.9,.821,0.4,2.0,2.4,2.0,0.5,0.3,1.5,1.2,9.2,,4.95
228,Gorgui Dieng,Louisville,,102,81,27.3,3.3,6.1,.545,3.3,6.0,.546,0.0,0.0,.333,1.7,2.7,.640,3.0,4.9,7.9,1.2,1.0,2.6,1.6,2.7,8.3,,8.78
229,Mason Plumlee,Duke,,141,99,25.9,3.7,6.5,.574,3.7,6.4,.578,0.0,0.1,.200,2.4,4.0,.583,2.4,5.4,7.7,1.5,0.8,1.4,2.0,2.5,9.8,,8.87
230,Solomon Hill,Arizona,,139,129,29.0,3.5,7.3,.481,2.7,5.1,.528,0.8,2.2,.375,2.5,3.3,.745,1.8,3.8,5.6,2.2,0.9,0.4,2.1,2.4,10.3,,7.05
231,Tim Hardaway Jr.,UTEP,,124,92,28.8,4.6,9.4,.486,4.8,9.4,.512,0.7,2.0,.352,3.0,4.2,.718,,,2.6,4.5,2.1,0.2,2.0,2.4,12.8,,2.63
232,Reggie Bullock,Morgan State,,46,,,1.1,2.7,.426,1.1,2.4,.455,0.0,0.2,.100,0.5,1.0,.522,,,2.0,0.4,0.6,0.1,,0.5,2.8,,-9.30
233,Andre Roberson,Colorado,,105,65,28.3,3.6,7.1,.516,3.2,5.7,.555,0.5,1.4,.350,1.9,3.2,.582,2.9,7.0,10.0,1.1,1.6,1.4,1.7,2.6,9.6,,6.43
234,Archie Goodwin,Kentucky,,33,33,31.8,4.8,10.8,.440,4.2,8.9,.478,0.5,1.9,.266,4.1,6.4,.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9,14.1,,5.78
235,Allen Crabbe,California,,98,97,34.7,5.4,12.2,.446,3.3,6.6,.500,2.1,5.6,.382,2.7,3.3,.819,0.9,4.8,5.7,2.2,0.9,0.6,1.9,1.7,15.7,,7.16
236,Carrick Felix,Arizona State,,94,69,27.9,3.6,8.0,.456,2.6,4.7,.545,1.1,3.2,.326,1.9,2.6,.704,1.3,3.5,4.8,1.3,1.0,0.8,1.7,2.4,10.2,,5.37
237,Isaiah Canaan,Murray State,,132,83,29.4,4.8,10.7,.450,2.5,5.2,.483,2.3,5.5,.419,3.6,4.5,.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,,-3.56
238,Glen Rice Jr.,Michigan,,134,101,29.8,7.5,13.1,.569,7.5,12.6,.591,1.3,2.8,.480,2.3,2.8,.797,,,6.4,2.0,0.8,0.3,1.8,1.9,18.2,,9.85
239,Ray McCallum,Ball State,,115,,36.2,7.4,14.5,.507,,,,,,,3.6,4.5,.804,2.1,2.4,1.3,0.2,1.9,1.1,18.3,,-1.54,,
240,Tony Mitchell,North Carolina A&T,,70,,,0.9,2.7,.333,0.6,1.5,.380,0.3,1.2,.274,0.3,0.6,.455,,,1.5,0.5,0.2,0.1,,0.3,2.4,,-10.52
241,Nate Wolters,South Dakota State,,127,109,33.1,6.1,13.5,.450,4.8,9.9,.490,1.2,3.6,.342,5.1,6.4,.803,0.9,3.8,4.7,5.3,1.5,0.2,2.2,1.8,18.5,,-3.55
242,Jeff Withey,Kansas,,117,76,19.8,2.8,4.9,.568,2.8,4.9,.567,0.0,0.0,1.000,2.4,3.3,.726,1.6,3.8,5.4,0.6,0.5,2.7,1.2,1.8,8.0,,8.34
243,Grant Jerrett,Arizona,,34,2,17.8,1.9,4.5,.409,0.9,2.2,.413,0.9,2.3,.405,0.5,0.6,.818,1.1,2.5,3.6,0.5,0.5,1.0,0.6,1.3,5.2,,7.47
244,Jamaal Franklin,San Diego State,,85,54,25.9,4.3,10.0,.426,3.1,6.2,.504,1.2,3.8,.302,4.0,5.1,.780,1.5,5.5,7.0,1.9,1.0,0.6,2.6,2.1,13.7,,5.45
