,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
938,Moochie Norris,Moochie Norris,PG,8.0,1.5,2.9,0.5,0.0,1.5
939,Jeff McInnis,Jeff McInnis,PG,13.0,0.5,1.4,0.2,0.1,5.0
940,Steve Hamer,Steve Hamer,C,35.0,1.7,0.2,0.1,0.1,2.2
941,Jason Sasser,Jason Sasser,SF,8.0,1.0,0.3,0.4,0.0,2.4
942,Randy Livingston,Randy Livingston,PG,64.0,1.5,2.4,0.6,0.2,3.9
943,Ben Davis,Ben Davis,PF,20.0,1.4,0.0,0.2,0.1,1.5
944,Malik Rose,Malik Rose,PF,54.0,3.0,0.6,0.5,0.3,3.0
945,Marcus Brown,Marcus Brown,PG,21.0,0.7,1.0,0.4,0.1,3.9
946,Jamie Feick,Jamie Feick,PF-C,41.0,5.2,0.6,0.4,0.3,3.7
947,Amal McCaskill,Amal McCaskill,C,17.0,1.3,0.4,0.2,0.3,1.6
948,Chris Robinson,Chris Robinson,SG,41.0,1.7,1.6,0.7,0.2,4.6
949,Mark Pope,Mark Pope,SF,28.0,0.9,0.3,0.1,0.2,1.4
950,Jeff Nordgaard,Jeff Nordgaard,PF,13.0,1.1,0.2,0.2,0.0,1.4
951,Shandon Anderson,Shandon Anderson,SG,65.0,2.8,0.8,0.4,0.1,5.9
952,Reggie Geary,Reggie Geary,PG,39.0,0.4,0.9,0.3,0.1,1.5
953,Drew Barry,Drew Barry,PG,27.0,1.3,1.8,0.4,0.0,2.1
954,Joe Smith,Joe Smith,PF,82.0,8.7,1.0,1.0,1.6,15.3
955,Antonio McDyess,Antonio McDyess,PF,76.0,7.5,1.0,0.7,1.5,13.4
956,Jerry Stackhouse,Jerry Stackhouse,SG,72.0,3.7,3.9,1.1,1.1,19.2
957,Rasheed Wallace,Rasheed Wallace,PF,65.0,4.7,1.3,0.6,0.8,10.1
958,Bryant Reeves,Bryant Reeves,C,77.0,7.4,1.4,0.6,0.7,13.3
959,Damon Stoudamire,Damon Stoudamire,PG,70.0,4.0,9.3,1.4,0.3,19.0
960,Shawn Respert,Shawn Respert,SG,62.0,1.2,1.1,0.5,0.1,4.9
961,Ed O'Bannon,Ed O'Bannon,SG,64.0,2.6,1.0,0.7,0.2,6.2
962,Kurt Thomas,Kurt Thomas,PF,74.0,5.9,0.6,0.6,0.5,9.0
963,Gary Trent,Gary Trent,PF,69.0,3.4,0.7,0.4,0.2,7.5
964,Cherokee Parks,Cherokee Parks,C,64.0,3.4,0.5,0.4,0.5,3.9
965,Corliss Williamson,Corliss Williamson,SF,53.0,2.2,0.4,0.2,0.2,5.6
966,Eric Williams,Eric Williams,SF,64.0,3.4,1.1,0.9,0.2,10.7
967,Brent Barry,Brent Barry,SG,79.0,2.1,2.9,1.2,0.3,10.1
968,Alan Henderson,Alan Henderson,PF,79.0,4.5,0.6,0.6,0.5,6.4
969,Bob Sura,Bob Sura,SG,79.0,1.7,2.9,0.7,0.3,5.3
970,Theo Ratliff,Theo Ratliff,C,75.0,4.0,0.2,0.2,1.5,4.5
971,Randolph Childress,Randolph Childress,PG,28.0,0.7,1.1,0.3,0.0,3.0
972,Jason Caffey,Jason Caffey,PF,57.0,1.9,0.4,0.2,0.1,3.2
973,Michael Finley,Michael Finley,SF,82.0,4.6,3.5,1.0,0.4,15.0
974,George Zídek,George Zídek,C,71.0,2.6,0.2,0.1,0.1,4.0
975,Travis Best,Travis Best,PG,59.0,0.7,1.6,0.3,0.1,3.7
976,Loren Meyer,Loren Meyer,C,72.0,4.4,0.8,0.3,0.4,5.0
977,David Vaughn,David Vaughn,PF,33.0,2.4,0.2,0.2,0.5,1.9
978,Sherell Ford,Sherell Ford,SF,28.0,0.9,0.2,0.3,0.0,3.2
979,Mario Bennett,Mario Bennett,SF,19.0,2.6,0.3,0.6,0.6,4.5
980,Greg Ostertag,Greg Ostertag,C,57.0,3.1,0.1,0.1,1.1,3.6
981,Cory Alexander,Cory Alexander,PG,60.0,0.7,2.0,0.5,0.0,2.8
982,Lou Roe,Lou Roe,SF,49.0,1.6,0.3,0.2,0.2,1.8
983,Terrence Rencher,Terrence Rencher,PG,36.0,1.2,1.5,0.4,0.1,2.9
984,Junior Burrough,Junior Burrough,PF,61.0,1.8,0.2,0.2,0.2,3.1
985,Andrew DeClercq,Andrew DeClercq,C,22.0,1.8,0.4,0.3,0.2,2.7
986,Jimmy King,Jimmy King,SG,62.0,1.8,1.4,0.3,0.2,4.5
987,Lawrence Moten,Lawrence Moten,SG,44.0,1.4,1.1,0.7,0.2,6.6
988,Frankie King,Frankie King,PG,6.0,0.3,0.3,0.3,0.0,1.2
